city,thievery,rapeViolence,robbery,stealing,motor_stealing,drugs,car_stealing
台北市,120,22,6,5,133,1128,32
新北市,141,9,13,15,560,2436,94
桃園市,26,5,5,7,724,1769,246
台中市,34,6,6,5,328,953,58
台南市,91,18,4,4,221,622,54
高雄市,35,6,4,14,497,1132,167
基隆市,21,4,4,1,63,309,3
新竹市,14,1,0,2,97,123,17
嘉義市,6,6,1,0,41,185,13
新竹縣,23,1,4,2,121,340,103
苗栗縣,14,1,1,1,62,240,24
彰化縣,13,1,3,6,95,476,24
南投縣,33,3,1,4,74,290,41
雲林縣,40,0,2,2,69,358,17
嘉義縣,3,3,0,1,33,213,11
屏東縣,9,0,0,2,108,416,53
宜蘭縣,30,5,1,0,69,252,32
花蓮縣,13,2,2,0,43,233,23
台東縣,5,1,0,0,33,113,12
澎湖縣,2,0,0,0,5,14,1
